Printed Item,Type,Folder,Short Name,Cost Per Sheet,Cost Per Item,Items Per Sheet,Best Bulk Cost Per Sheet (100+ Games),Image width (px),Image height (px),Cut width (in),Cut height (in),Cut depth (in),X cut margin (in),Y cut margin (in)
Domino Board,Board,Board,Domino,$6.49,$1.62,4,$4.27,1275,2475,4,8,,0.125,0.125
Half Board,Board,Board,Half,$6.49,$2.16,3,$4.26,1575,3075,5,10,,0.125,0.125
Large Square Board,Board,Board,Large Square,$6.49,$6.49,1,$4.00,3075,3075,10,10,,0.125,0.125
Quarter Board,Board,Board,Quarter,$6.49,$1.08,6,$4.50,1575,1575,5,5,,0.125,0.125
Skinny Board,Board,Board,Skinny,$6.49,$1.62,4,$4.50,1275,3075,4,10,,0.125,0.125
Sliver Board,Board,Board,Sliver,$6.99,$0.70,10,$5.00,675,2475,2,8,,0.125,0.125
Small Square Board,Board,Board,Small Square,$6.49,$0.81,8,$4.50,1275,1275,4,4,,0.125,0.125
Square Board,Board,Board,Square,$6.49,$3.25,2,$4.10,2475,2475,8,8,,0.125,0.125
Strip Board,Board,Board,Strip,$6.49,$0.93,7,$4.79,675,3075,2,10,,0.125,0.125
Jumbo Booklet,Booklet,Booklet,Jumbo,$1.10,$0.28,4,$0.76,2475,3075,8,10,,0.125,0.125
Large Booklet,Booklet,Booklet,Large,$0.98,$0.24,4,$0.69,1575,2475,5,8,,0.125,0.125
Medium Booklet,Booklet,Booklet,Medium,$0.98,$0.24,4,$0.69,1125,1575,3.5,5,,0.125,0.125
Small Booklet,Booklet,Booklet,Small,$0.98,$0.24,4,$0.69,825,1125,2.5,3.5,,0.125,0.125
Tall Booklet,Booklet,Booklet,Tall,$0.98,$0.24,4,$0.69,1425,2475,4.5,8,,0.125,0.125
Tarot Booklet,Booklet,Booklet,Tarot,$0.98,$0.24,4,$0.69,900,1500,2.75,4.75,,0.125,0.125
Large Pro Box Bottom Wrap,Box,Box,Large Pro Bottom Wrap,$2.99,$2.99,1,$2.50,3150,4950,10.25,16.25,,0.125,0.125
Large Pro Box Top Wrap,Box,Box,Large Pro Top Wrap,$2.99,$2.99,1,$2.50,3225,5025,10.5,16.5,,0.125,0.125
Bridge Tuck Box (108 cards),Box,Box,Bridge Tuck (108 cards),$2.79,$2.79,1,$2.35,2925,2250,2.25,3.5,1.62,3.75,2
Bridge Tuck Box (54 cards),Box,Box,Bridge Tuck (54 cards),$2.79,$2.79,1,$2.35,2175,1800,2.25,3.5,0.81,2.5,1.25
Jumbo Tuck Box (90 cards),Box,Box,Jumbo Tuck (90 cards),$2.79,$2.79,1,$2.35,3450,2700,3.5,5.5,1.35,4,1.75
Large Retail Box,Box,Box,Large Retail,$5.00,$10.00,0.5,$3.50,3975,4725,11.75,9.125,2,0.75,3.3125
Medium Game Box,Box,Box,Medium Game,$6.00,$6.00,1,$4.69,3450,5250,6.75,9,1.25,2.375,4.25
Medium Pro Box,Box,Box,Medium Pro,$4.50,$8.99,0.5,$3.50,3300,4350,8.2,4.7,1.4,1.4,4.9
Poker Card Wrap (18 cards),Box,Box,Poker Card Wrap (18 cards),$2.21,$2.21,1,$1.79,1875,2625,2.5,3.5,0.27,1.875,2.625
Poker Tuck Box (108 cards),Box,Box,Poker Tuck (108 cards),$2.79,$2.79,1,$2.35,3075,2250,2.5,3.5,1.62,3.875,2
Poker Tuck Box (36 cards),Box,Box,Poker Tuck (36 cards),$2.79,$2.79,1,$2.35,2100,1800,2.5,3.5,0.55,2.25,1.25
Poker Tuck Box (54 cards),Box,Box,Poker Tuck (54 cards),$2.79,$2.79,1,$2.35,2325,1950,2.5,3.5,0.81,2.625,1.5
Poker Tuck Box (72 cards),Box,Box,Poker Tuck (72 cards),$2.79,$2.79,1,$2.35,2550,1950,2.5,3.5,1.08,3,1.5
Poker Tuck Box (90 cards),Box,Box,Poker Tuck (90 cards),$2.79,$2.79,1,$2.35,2775,2100,2.5,3.5,1.35,3.375,1.75
Small Pro Box,Box,Box,Small Pro,$4.99,$4.99,1,$3.90,3450,2700,5.5,3.5,1,3,2.75
Square Tuck Box (48 cards),Box,Box,Square Tuck (48 cards),$2.79,$2.79,1,$2.35,2850,1800,3.5,3.75,0.72,3,1.125
Square Tuck Box (96 cards),Box,Box,Square Tuck (96 cards),$2.79,$2.79,1,$2.35,3525,2250,3.5,3.75,1.44,4.125,1.875
Tarot Tuck Box (40 cards),Box,Box,Tarot Tuck (40 cards),$2.79,$2.79,1,$2.35,2325,2025,2.75,4.75,0.7,2.5,1
Tarot Tuck Box (90 cards),Box,Box,Tarot Tuck (90 cards),$2.79,$2.79,1,$2.35,3000,2475,2.75,4.75,1.35,3.625,1.75
Bridge Deck,Deck,Deck,Bridge,$1.66,$0.09,18,$1.06,750,1125,2.25,3.5,,0.125,0.125
Business Deck,Deck,Deck,Business,$1.89,$0.09,21,$1.08,675,1125,2,3.5,,0.125,0.125
Circle Deck,Deck,Deck,Circle,$2.29,$0.19,12,$1.61,1125,1125,3.5,3.5,,0.125,0.125
Domino Deck,Deck,Deck,Domino,$1.99,$0.08,24,$1.18,600,1125,1.75,3.5,,0.125,0.125
Euro Square Deck,Deck,Deck,Euro Square,$2.39,$0.16,15,$1.63,900,900,2.756,2.756,,0.122,0.122
Hex Deck,Deck,Deck,Hex,$2.39,$0.20,12,$1.63,1200,1050,3.75,3.25,,0.125,0.125
Jumbo Deck,Deck,Deck,Jumbo,$1.35,$0.23,6,$0.97,1125,1725,3.5,5.5,,0.125,0.125
Micro Deck,Deck,Deck,Micro,$3.99,$0.07,56,$2.44,450,600,1.25,1.75,,0.125,0.125
Mini Deck,Deck,Deck,Mini,$2.89,$0.09,32,$1.50,600,825,1.75,2.5,,0.125,0.125
Poker Deck,Deck,Deck,Poker,$1.66,$0.09,18,$1.06,825,1125,2.5,3.5,,0.125,0.125
Small Square Deck,Deck,Deck,Small Square,$2.39,$0.10,24,$1.17,825,825,2.5,2.5,,0.125,0.125
Square Deck,Deck,Deck,Square,$2.19,$0.18,12,$1.07,1125,1125,3.5,3.5,,0.125,0.125
Tarot Deck,Deck,Deck,Tarot,$1.99,$0.20,10,$1.05,900,1500,2.75,4.75,,0.125,0.125
US Game Deck,Deck,Deck,US Game,$2.29,$0.13,18,$1.66,750,1125,2.20472,3.4252,,0.14764,0.1624
Dual Dial,Dial,Dial,Dual,$5.99,$1.50,4,$3.47,2550,1650,2.5,5.25,,3,0.125
Small Dial,Dial,Dial,Small,$5.28,$1.32,4,$3.06,825,2400,2.5,2.5,,0.125,2.75
Accordion Board,Folding Board,Board/Folding,Accordion,$9.49,$9.49,1,$5.00,2475,4875,8,16,,0.125,0.125
Bi-Fold Game Board,Folding Board,Board/Folding,Bi-Fold,$8.00,$8.00,1,$5.00,2775,5475,9,18,,0.125,0.125
Quad-Fold Game Board,Folding Board,Board/Folding,Quad-Fold,$5.00,$10.00,0.5,$4.00,5475,5475,18,18,,0.125,0.125
Six-Fold Game Board,Folding Board,Board/Folding,Six-Fold,$6.67,$20.00,0.333334,$5.50,8175,5475,27,18,,0.125,0.125
Big Mat,Mat,Mat,Big,$1.66,$1.66,1,$1.30,3075,4875,10,16,,0.125,0.125
Domino Mat,Mat,Mat,Domino,$1.99,$0.50,4,$1.54,1275,2475,4,8,,0.125,0.125
Flower Mat,Mat,Mat,Flower,$2.69,$0.13,20,$1.95,825,900,2.5,2.75,,0.125,0.125
Half Mat,Mat,Mat,Half,$1.99,$0.66,3,$1.41,1575,3075,5,10,,0.125,0.125
Hex Mat,Mat,Mat,Hex,$2.69,$0.45,6,$1.59,1650,1425,5.25,4.5,,0.125,0.125
Invader Mat,Mat,Mat,Invader,$2.69,$0.30,9,$1.85,1275,1125,4,3.5,,0.125,0.125
Large Hex Mat,Mat,Mat,Large Hex,$2.69,$1.34,2,$1.59,2925,2550,9.5,8.25,,0.125,0.125
Large Square Mat,Mat,Mat,Large Square,$1.66,$1.66,1,$1.26,3075,3075,10,10,,0.125,0.125
Quarter Mat,Mat,Mat,Quarter,$1.99,$0.33,6,$1.46,1575,1575,5,5,,0.125,0.125
Skinny Mat,Mat,Mat,Skinny,$1.83,$0.46,4,$1.40,1275,3075,4,10,,0.125,0.125
Sliver Mat,Mat,Mat,Sliver,$2.69,$0.27,10,$1.69,675,2475,2,8,,0.125,0.125
Small Square Mat,Mat,Mat,Small Square,$1.93,$0.24,8,$1.48,1275,1275,4,4,,0.125,0.125
Spinner Mat,Mat,Mat,Spinner,$1.89,$0.95,2,$1.30,2475,2475,8,8,,0.125,0.125
Square Mat,Mat,Mat,Square,$1.66,$0.83,2,$1.31,2475,2475,8,8,,0.125,0.125
Strip Mat,Mat,Mat,Strip,$2.69,$0.38,7,$1.69,675,3075,2,10,,0.125,0.125
US Game Mat,Mat,Mat,US Game,$2.48,$0.28,9,$1.61,1050,1425,3.25,4.5,,0.125,0.125
Document,Misc,Misc,Document,$0.65,$0.33,2,$0.49,2550,3300,8.5,11,,0,0
Play Money,Misc,Misc,Play Money,$1.99,$0.09,21,$1.26,675,1125,2,3.5,,0.125,0.125
Arrow Chit,Small Punchout,Punchout/Small,Arrow Chit,$9.97,$0.05,200,$5.75,150,300,0.25,0.75,,0.125,0.125
Bullseye Chit,Small Punchout,Punchout/Small,Bullseye Chit,$10.40,$0.26,40,$6.00,375,900,1,1,,0.125,1
Custom Small Punchout,Small Punchout,Punchout/Small,Custom,$5.60 + (linear inches x $0.02616),???,10,$3.72 + (linear inches x $0.005232),975,1575,3.25,5.25,,0,0
Domino Chit,Small Punchout,Punchout/Small,Domino Chit,$8.82,$0.22,40,$4.75,375,675,1,2,,0.125,0.125
Large Circle Chit,Small Punchout,Punchout/Small,Large Circle Chit,$8.34,$0.10,80,$4.82,375,375,1,1,,0.125,0.125
Large Ring,Small Punchout,Punchout/Small,Large Ring,$10.23,$0.17,60,$5.90,450,450,1.25,1.25,,0.125,0.125
Large Square Chit,Small Punchout,Punchout/Small,Large Square Chit,$9.09,$0.11,80,$5.25,375,375,1,1,,0.125,0.125
Large Standee,Small Punchout,Punchout/Small,Large Standee,$10.03,$0.25,40,$5.79,375,975,1,2.25,,0.125,0.5
Medium Circle Chit,Small Punchout,Punchout/Small,Medium Circle Chit,$9.46,$0.06,150,$5.46,300,300,0.75,0.75,,0.125,0.125
Medium Ring,Small Punchout,Punchout/Small,Medium Ring,$10.40,$0.13,80,$6.00,375,375,1,1,,0.125,0.125
Medium Square Chit,Small Punchout,Punchout/Small,Medium Square Chit,$10.51,$0.07,150,$6.07,300,300,0.75,0.75,,0.125,0.125
Medium Standee,Small Punchout,Punchout/Small,Medium Standee,$10.42,$0.17,60,$6.01,300,750,0.75,1.675,,0.125,0.4125
Medium Triangle Chit,Small Punchout,Punchout/Small,Medium Triangle Chit,$9.29,$0.06,150,$5.36,300,300,0.75,0.75,,0.125,0.125
Mini Circle Tile,Small Punchout,Punchout/Small,Mini Circle Tile,$8.17,$0.14,60,$4.72,450,450,1.25,1.25,,0.125,0.125
Mini Hex Tile,Small Punchout,Punchout/Small,Mini Hex Tile,$8.06,$0.13,60,$4.66,450,450,1.25,1.08,,0.125,0.21
Mini Square Tile,Small Punchout,Punchout/Small,Mini Square Tile,$8.88,$0.15,60,$5.13,450,450,1.25,1.25,,0.125,0.125
Small Circle Chit,Small Punchout,Punchout/Small,Small Circle Chit,$10.40,$0.04,280,$6.00,225,225,0.5,0.5,,0.125,0.125
Small Ring,Small Punchout,Punchout/Small,Small Ring,$9.89,$0.10,100,$5.71,300,300,0.75,0.75,,0.125,0.125
Small Square Chit,Small Punchout,Punchout/Small,Small Square Chit,$11.72,$0.04,280,$6.76,225,225,0.5,0.5,,0.125,0.125
Small Standee,Small Punchout,Punchout/Small,Small Standee,$10.47,$0.13,80,$6.04,225,525,0.5,1.125,,0.125,0.3125
Custom Medium Punchout,Medium Punchout,Punchout/Medium,Custom,$5.60 + (linear inches x $0.02616),???,4,$3.72 + (linear inches x $0.005232),2400,1350,8,4.5,,0,0
Domino Tile,Medium Punchout,Punchout/Medium,Domino Tile,$7.17,$0.60,12,$4.15,675,1275,2,4,,0.125,0.125
Small Hex Tile,Medium Punchout,Punchout/Medium,Small Hex Tile,$7.70,$0.24,32,$4.45,675,600,2,1.75,,0.125,0.125
Small Square Tile,Medium Punchout,Punchout/Medium,Small Square Tile,$7.70,$0.32,24,$4.45,675,675,2,2,,0.125,0.125
Triangle Tile,Medium Punchout,Punchout/Medium,Triangle Tile,$7.70,$0.24,32,$4.45,675,600,2,1.75,,0.125,0.125
Custom Large Punchout,Large Punchout,Punchout/Large,Custom,$5.60 + (linear inches x $0.02616),???,2,$3.72 + (linear inches x $0.005232),2475,3150,8.25,10.5,,0,0
Large Hex Tile,Large Punchout,Punchout/Large,Large Hex Tile,$6.98,$0.58,12,$4.04,1200,1050,3.75,3.25,,0.125,0.125
Large Square Tile,Large Punchout,Punchout/Large,Large Square Tile,$6.82,$0.85,8,$3.95,1125,1125,3.5,3.5,,0.125,0.125
Medium Hex Tile,Large Punchout,Punchout/Large,Medium Hex Tile,$7.07,$0.29,24,$4.09,825,750,2.5,2.2,,0.125,0.15
Medium Square Tile,Large Punchout,Punchout/Large,Medium Square Tile,$6.91,$0.38,18,$4.00,825,825,2.5,2.5,,0.125,0.125
Large Score Pad,Score Pad,Score Pad,Large,$0.35,$0.09,4,$0.20,2475,3075,8,10,,0.125,0.125
Medium Score Pad,Score Pad,Score Pad,Medium,$0.30,$0.07,4,$0.18,1425,2475,4.5,8,,0.125,0.125
Small Score Pad,Score Pad,Score Pad,Small,$0.30,$0.07,4,$0.18,1125,1725,3.5,5.5,,0.125,0.125
Large Screen,Screen,Screen,Large,$2.79,$2.79,1,$1.65,4875,3075,16,10,,0.125,0.125
Medium Screen,Screen,Screen,Medium,$2.79,$1.40,2,$1.65,4875,1425,16,4.5,,0.125,0.125
Small Screen,Screen,Screen,Small,$2.79,$0.70,4,$1.65,3075,1200,10,3.5,,0.125,0.25
Circle Shard,Shard,Shard,Circle,$2.59,$0.02,108,$1.45,300,300,0.75,0.75,,0.125,0.125
Hex Shard,Shard,Shard,Hex,$2.59,$0.02,108,$1.45,300,300,0.75,0.66,,0.125,0.17
Square Shard,Shard,Shard,Square,$2.59,$0.02,108,$1.45,300,300,0.75,0.75,,0.125,0.125
Tombstone Shard,Shard,Shard,Tombstone,$2.59,$0.04,72,$1.45,300,450,0.75,1.25,,0.125,0.125
Dice Sticker,Sticker,Sticker,Dice,$2.99,$0.01,225,$1.59,188,188,0.5,0.5,,0.0633333333,0.0633333333
Meeple Sticker,Sticker,Sticker,Meeple,$3.99,$0.02,180,$2.18,225,225,0.5,0.56,,0.125,0.095
Pawn Sticker,Sticker,Sticker,Pawn,$2.99,$0.04,72,$1.67,300,525,0.65,1.35,,0.175,0.2
Token Sticker,Sticker,Sticker,Token,$3.68,$0.05,72,$2.80,338,338,1,1,,0.0633333333,0.0633333333
